sample_ID;include atlas;model;larry;species;CellLine_ID;sex;strain;genotype group;morphology/ grading;treatment;enriched fraction;path;mouse_ID
CSC77;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201910/AS-413901-LR-47381/outs/filtered_feature_bc_matrix.h5;CSC77
CSC81;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/201910/AS-413903-LR-47382/outs/filtered_feature_bc_matrix.h5;CSC81
IM98;yes;orthotopic;no;mouse;8513;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202001/IM98_PPT/filtered_feature_bc_matrix.h5;IM98
IM81;yes;orthotopic;no;mouse;8570;female;C57Bl6/J ;PK;mesenchymal;ctrl;n/a;/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202001/IM81_PPT/filtered_feature_bc_matrix.h5;IM81
CSC128A;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;T/N+a-PDL1;BV421/APC-neg (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_a/CSC128_N_T_aPDL1_8661_fibro_enriched/outs/filtered_feature_bc_matrix.h5;CSC128
CSC128B;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;T/N+a-PDL1;APC-pos  (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_a/CSC128_N_T_aPDL1_8661_immune_enriched/outs/filtered_feature_bc_matrix.h5;CSC128
CSC121A;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;T/N;BV421/APC-neg (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_a/CSC121_N_T_aPDL1_9091_fibro_enriched/outs/filtered_feature_bc_matrix.h5;CSC121
CSC121B;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;T/N;APC-pos  (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_a/CSC121_N_T_aPDL1_9091_immune_enriched/outs/filtered_feature_bc_matrix.h5;CSC121
CSC130/CSC127A;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;T/N;BV421/APC-neg (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_a/CSC130_CSC127_N_T_8661_fibro_enriched/outs/filtered_feature_bc_matrix.h5;CSC130/CSC127
CSC130/CSC127B;yes;orthotopic;no;mouse;8661;male;C57Bl6/J ;PK;classical;T/N;APC-pos  (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_a/CSC130_CSC127_N_T_8661_immune_enriched/outs/filtered_feature_bc_matrix.h5;CSC130/CSC127
CSC116A;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;ctrl;BV421/APC-neg (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_b/CSC116_Ctrl_9091_fibro_enriched/outs/filtered_feature_bc_matrix.h5;CSC116
CSC116B;yes;orthotopic;no;mouse;9091;female;C57Bl6/J ;PK;mesenchymal;ctrl;APC-pos  (FACS);/mnt/storage/Daniele/preprocessed_data/mouse_pancreas/scRNA/202005_b/CSC116_Ctrl_9091_immune_enriched/outs/filtered_feature_bc_matrix.h5;CSC116
